Site,Cost 19/20 (Electric),Consumption 19/20 (Electric),Cost 18/19 (Electric),Consumption 18/19 (Electric),Cost 19/20 (Gas),Consumption 19/20 (Gas),Cost 18/19 (Gas) ,Consumption 18/19 (Gas),Total Cost 19/20,Total Consumption 19/20,"CO2e
(grams)",,,,CO2 Conversion factors,
Adult Training Centre - Bramley Fulfilling Lives  ,"£14,345.85",90711.8,"£14,694.53",97120.1,"£16,271.22",507158.49,"£13,428.25",403693.42,"£30,617.07",597870.29,"26,509.82",,,,Electricity,0.2556
Adult Training Centre - Ramshead Wood Day  Adult Training Centre  ,,,,,£356.66,0,£915.63,0,£356.66,0,72.86,,,,Gas,0.20428
Adult Training Centre - Rothwell Fulfilling Lives  ,"£12,184.71",68475.1,"£12,679.70",70203.6,"£6,856.45",208018.07,"£5,940.30",169437.21,"£19,041.16",276493.17,"18,902.87",,,,,
BITMO - Landlords Supply - 1 - 11 Aberfield Rise  ,£350.74,1503,£339.85,1637.9,,,,,£350.74,1503,384.17,,,,,
BITMO - Landlords Supply - 100 - 112 Aberfield Drive  ,£323.30,1430.8,£320.57,1493.7,,,,,£323.30,1430.8,365.71,,,,,
BITMO - Landlords Supply - 103 - 113 Aberfield Drive  ,£481.23,2452.2,£534.30,3042.1,,,,,£481.23,2452.2,626.78,,,,,
BITMO - Landlords Supply - 115 - 125 Aberfield Drive  ,£328.54,1464,£316.95,1469.6,,,,,£328.54,1464,374.20,,,,,
BITMO - Landlords Supply - 127 - 137 Aberfield Drive  ,£480.31,2460.7,£479.92,2654.2,,,,,£480.31,2460.7,628.95,,,,,
BITMO - Landlords Supply - 14 - 22 Aberfield Crest  ,£473.74,2299.7,£455.41,2415.2,,,,,£473.74,2299.7,587.80,,,,,
BITMO - Landlords Supply - 15 - 25 Aberfield Rise  ,£545.30,2920.1,£519.21,2832.5,,,,,£545.30,2920.1,746.38,,,,,
BITMO - Landlords Supply - 179 - 189 Aberfield Drive  ,£345.77,1484,£311.50,1428.4,,,,,£345.77,1484,379.31,,,,,
BITMO - Landlords Supply - 191 - 201 Aberfield Drive  ,£396.89,1885.8,£478.81,2637,,,,,£396.89,1885.8,482.01,,,,,
BITMO - Landlords Supply - 2 - 12 Town Street  ,£275.74,1098,£288.40,1262.1,,,,,£275.74,1098,280.65,,,,,
BITMO - Landlords Supply - 21 - 31 Winrose Approach  ,£319.12,1383.3,£349.95,1710,,,,,£319.12,1383.3,353.57,,,,,
BITMO - Landlords Supply - 27 - 37 Aberfield Rise  ,£488.34,2553.4,£383.34,1948.1,,,,,£488.34,2553.4,652.65,,,,,
BITMO - Landlords Supply - 33 - 43 Winrose Approach  ,£356.03,1630.3,£403.19,2091.7,,,,,£356.03,1630.3,416.70,,,,,
BITMO - Landlords Supply - 39 - 49 Aberfield Rise  ,£428.15,2029.3,£431.34,2323.2,,,,,£428.15,2029.3,518.69,,,,,
BITMO - Landlords Supply - 45 - 55 Winrose Approach  ,£330.96,1482.2,£336.85,1607.9,,,,,£330.96,1482.2,378.85,,,,,
BITMO - Landlords Supply - 65 - 75 Winrose Approach  ,£315.53,1378.4,£273.17,1156,,,,,£315.53,1378.4,352.32,,,,,
BITMO - Landlords Supply - 77 - 87 Winrose Approach  ,£406.04,1966.4,£458.26,2487.5,,,,,£406.04,1966.4,502.61,,,,,
BITMO - Sheltered Housing - 1 - 3 Winrose Drive  ,£133.11,22.9,£129.43,23.2,,,,,£133.11,22.9,5.85,,,,,
BITMO - Sheltered Housing - 15 - 21 Winrose Grove  ,£132.86,20.6,£129.15,20.2,,,,,£132.86,20.6,5.27,,,,,
BITMO - Sheltered Housing - 1-7 Belle Isle Circus  ,£133.45,24.6,£129.89,26.5,,,,,£133.45,24.6,6.29,,,,,
BITMO - Sheltered Housing - 19 - 25 Belle Isle Circus  ,£117.69,21.2,£129.52,21.1,,,,,£117.69,21.2,5.42,,,,,
BITMO - Sheltered Housing - 23 - 29 Winrose Grove  ,£133.13,24.2,£130.03,25.6,,,,,£133.13,24.2,6.19,,,,,
BITMO - Sheltered Housing - 27 - 33 Belle Isle Circus  ,£132.96,21.5,£132.67,21.4,,,,,£132.96,21.5,5.50,,,,,
BITMO - Sheltered Housing - 39 - 45 Winrose Drive  ,£133.58,27,£130.51,28.6,,,,,£133.58,27,6.90,,,,,
BITMO - Sheltered Housing - 47 - 53 Winrose Drive  ,£136.02,42.6,£137.21,55.6,,,,,£136.02,42.6,10.89,,,,,
BITMO - Sheltered Housing - 5 - 11 Winrose Drive   ,£133.52,25.1,£121.17,14.9,,,,,£133.52,25.1,6.42,,,,,
BITMO - Sheltered Housing - 5 - 11 Winrose Grove  ,£117.46,28.7,£118.55,28.5,,,,,£117.46,28.7,7.34,,,,,
BITMO - Sheltered Housing - 50 - 56 Belle Isle Circus  ,£130.19,3.3,£126.58,3.6,,,,,£130.19,3.3,0.84,,,,,
BITMO - Sheltered Housing - 55 - 61 Winrose Drive  ,£137.34,50.5,£133.30,50.9,,,,,£137.34,50.5,12.91,,,,,
BITMO - Sheltered Housing - 66 - 72 Belle Isle Circus  ,£133.71,26.5,£130.02,25.8,,,,,£133.71,26.5,6.77,,,,,
BITMO - Sheltered Housing - 74 - 80 Belle Isle Circus  ,£138.29,60.2,£146.43,227.3,,,,,£138.29,60.2,15.39,,,,,
BITMO - Sheltered Housing - 9 - 17 Belle Isle Circus  ,£132.28,27,£117.28,41.9,,,,,£132.28,27,6.90,,,,,
