centro_codigo;centro_nombre;centro_tipo_codigo;centro_tipo_desc_abreviada;centro_tipo_descripcion;centro_titularidad;dat_codigo;dat_nombre;centro_direccion_coor_x;centro_direccion_coor_y;programa_excelencia;programa_aula_excelencia;programa_innovacion_tecno
28020946;SAN ISIDRO;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;5;Madrid-Capital;439982;4473798;;;S
28021562;GRAN CAPITÁN;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;5;Madrid-Capital;438900;4472822;;;S
28023911;GERARDO DIEGO;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;4;Madrid-Oeste;433232;4477228;;S;
28025014;ISAAC PERAL;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;461603;4478436;;;S
28028350;MARIA MOLINER;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;453407;4474809;;;S
28028571;LAS ROZAS I;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;4;Madrid-Oeste;426438;4482429;;;S
28030241;PRADO DE SANTO DOMINGO;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;2;Madrid-Sur;428582;4465879;;S;
28030915;GALILEO GALILEI;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;2;Madrid-Sur;428726;4465828;;;S
28030939;SAN MATEO;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;5;Madrid-Capital;440612;4475226;S;;
28032501;LEONARDO DA VINCI;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;4;Madrid-Oeste;425440;4481282;;;S
28037089;DIEGO VELAZQUEZ;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;4;Madrid-Oeste;420818;4492625;;S;
28038926;VILLA DE VALDEMORO;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;2;Madrid-Sur;441876;4448986;;S;
28039670;CARDENAL CISNEROS;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;468572;4481236;;;S
28039682;ALKALA-NAHAR;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;470983;4481842;;S;
28039876;SALVADOR DALÍ;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;5;Madrid-Capital;444316;4476758;;;S
28039992;LOS ROSALES;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;2;Madrid-Sur;426018;4465388;;S;
28040696;JOSÉ HIERRO;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;2;Madrid-Sur;436112;4460299;;S;
28040714;DE GUADARRAMA;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;4;Madrid-Oeste;408024;4502165;;S;
28040787;EL BURGO-IGNACIO ECHEVERRÍA;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;4;Madrid-Oeste;425171;4482324;;S;
28041500;PALAS ATENEA;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;461191;4479344;;S;
28041597;LAS CANTERAS;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;4;Madrid-Oeste;415452;4499222;;S;
28041615;SATAFI;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;2;Madrid-Sur;439484;4462658;;;S
28042073;MARGARITA SALAS;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;4;Madrid-Oeste;426465;4479740;;S;
28042103;PINTOR ANTONIO LOPEZ;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;1;Madrid-Norte;440561;4494858;;S;
28042981;ROSA CHACEL;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;1;Madrid-Norte;435281;4500654;;;S
28046111;ALPEDRETE;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;4;Madrid-Oeste;414076;4500861;;;S
28047411;PRINCIPE FELIPE;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;5;Madrid-Capital;440443;4481344;;;S
28050720;MIGUEL DE CERVANTES;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;2;Madrid-Sur;425373;4462407;;;S
28058640;ARQUITECTO VENTURA RODRIGUEZ;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;4;Madrid-Oeste;424225;4473561;;S;
28062035;FRANCISCO UMBRAL;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;2;Madrid-Sur;446583;4445879;;S;
28067628;CALDERON DE LA BARCA;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;2;Madrid-Sur;440745;4456403;;;S
